ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
1,2003-9-22 6,21.8,121.2,29.4,1.5,7.0,N,2.0
2,2003-9-22 0,19.6,120.6,29.3,-99.9,-99.9,N,1.0
3,2003-9-22 0,30.3,123.0,27.0,1.0,3.0,E,2.0
4,2003-9-22 6,22.0,116.6,28.0,1.5,6.0,N,2.0
5,2003-9-22 0,33.6,126.0,26.0,1.5,6.0,E,2.0
6,2003-9-22 0,22.2,121.5,28.0,3.0,5.0,N,3.0
1,2003-9-22 0,21.8,121.8,29.4,2.0,7.0,N,2.5
6,2003-9-22 3,22.6,122.0,28.0,3.0,6.0,N,3.0
7,2003-9-22 0,19.3,117.8,30.0,0.5,3.0,W,1.0
8,2003-9-22 0,23.5,124.4,24.4,1.0,2.0,,1.5
9,2003-9-22 0,31.6,124.8,28.0,-99.9,-99.9,,-99.9
