ship_id,datetime,lat,long,sea_temp,wave_height,wave_period,surge_direction,surge_height
61,2002-5-30 0,18.5,129.4,29.5,0.5,1.0,E,1.0
38,2002-5-30 12,18.6,120.4,-99.9,-99.9,-99.9,,-99.9
62,2002-5-30 6,27.5,122.0,-99.9,0.5,1.0,S,1.5
63,2002-5-30 0,23.8,118.6,30.0,-99.9,-99.9,W,0.5
64,2002-5-29 0,35.2,129.7,21.0,1.5,6.0,,-99.9
38,2002-5-30 0,20.9,122.8,28.0,2.0,2.0,S,3.0
65,2002-5-29 0,28.2,125.8,26.0,1.0,4.0,S,1.0
45,2002-5-30 0,27.6,129.7,25.7,3.0,6.0,N,0.0
40,2002-5-29 0,15.0,119.0,30.0,2.0,4.0,S,2.0
66,2002-5-30 12,21.4,123.3,27.4,-99.9,-99.9,,-99.9
38,2002-5-29 12,23.3,125.7,-99.9,-99.9,-99.9,,-99.9
67,2002-5-29 12,15.0,119.0,-99.9,-99.9,-99.9,,-99.9
34,2002-5-29 0,32.8,127.2,22.0,1.0,1.0,,-99.9
62,2002-5-29 12,23.6,119.8,-99.9,0.5,3.0,N,1.0
38,2002-5-29 6,24.3,127.2,26.0,1.0,3.0,E,1.0
67,2002-5-30 6,19.7,121.3,27.0,1.5,5.0,W,2.0
33,2002-5-30 12,31.0,129.2,24.0,1.5,4.0,,-99.9
38,2002-5-30 6,19.9,121.3,28.0,3.0,5.0,,-99.9
18,2002-5-29 0,21.8,124.9,28.0,0.5,3.0,N,1.5
38,2002-5-29 0,25.8,128.7,26.0,1.0,1.0,E,1.5
68,2002-5-30 6,17.0,125.5,-99.9,0.5,1.0,N,1.5
68,2002-5-30 0,18.6,125.3,-99.9,0.5,2.0,S,1.5
68,2002-5-29 6,23.4,124.7,-99.9,1.0,3.0,E,1.5
63,2002-5-29 0,28.6,124.7,24.0,1.0,4.0,S,1.0
66,2002-5-30 0,23.7,125.4,26.8,1.0,5.0,E,2.5
63,2002-5-29 3,28.1,124.1,25.0,1.0,4.0,S,1.0
45,2002-5-29 9,27.9,129.8,25.0,3.0,6.0,N,0.0
63,2002-5-29 12,26.1,121.7,27.0,1.0,4.0,S,1.0
41,2002-5-30 0,22.1,122.7,28.0,1.5,4.0,W,2.0
18,2002-5-29 12,23.3,127.4,28.0,-99.9,-99.9,,-99.9
17,2002-5-30 6,21.0,120.4,27.8,1.0,2.0,S,2.0
62,2002-5-29 6,22.4,119.6,-99.9,2.0,4.0,E,3.5
68,2002-5-30 12,15.4,125.7,-99.9,0.5,1.0,E,1.0
62,2002-5-29 0,21.3,118.8,-99.9,3.0,6.0,,-99.9
45,2002-5-29 6,27.9,129.8,25.5,2.5,5.0,N,0.0
67,2002-5-30 0,18.3,120.1,25.0,1.0,3.0,S,2.0
41,2002-5-30 12,23.6,127.2,28.0,-99.9,-99.9,,-99.9
66,2002-5-30 3,23.5,124.4,26.9,1.0,4.0,E,3.0
45,2002-5-30 0,27.6,129.7,25.7,3.0,6.0,,-99.9
66,2002-5-30 6,23.0,123.9,27.5,2.0,6.0,S,3.5
